text,standardized,split,input_char_len,target_char_len,input_truncated,target_truncated,input_padding_needed,target_padding_needed
Eski ban zenfan safe dan lekol government,Eski bann zanfan safe dan lekol government?,train,43,45,False,False,213,211
Ale do,Ale dow!,train,8,10,False,False,248,246
Quand bane etranger p vinne la peche dan nou territories ca zot pas trouver ca ban fatra C. G,"Quand bann etranzer pe vinn lapess dan nu territories, sa zot pas truve sa bann fatra C.G.",train,95,92,False,False,161,164
Ptr ek msm mem zafer sa ptr pli pire letemp guett bien,PTR ek MSM mem zafer sa. PTR plis pire letan get bien.,train,56,56,False,False,200,200
Chk exhibit la bhai ezan... Tension meya.. Kit kot so banian.,"Sak exhibit la bhai Ezan... Tension meya, kite kot so banian.",train,63,63,False,False,193,193
Mo espere rien de grave semaa 🙏🙏🙏,Mo espere rien de grave selma. 🙏🙏🙏,train,35,36,False,False,221,220
Cyclone la pareil kumn gouvernment laem..... pnahh confience,Cyclone la pareil kuma gouvernment lamem..... Pena confience.,train,62,63,False,False,194,193
Sofer pou sorti lor kotion,Sofer pu sorti lor kotion.,train,28,28,False,False,228,228
Banne femme tellement zotte en folie pas capave sans passé zomme pou rester couma [NAME] astere bisin alle reste dans l'hôpital bisin bien réfléchi avant rentre dans ene relation sexuelle avek ene zomme,Bann femme tellement zot en folie pas kapav sans passe zom pu reste kuma [NAME]. Aster bizin ale reste dans l'hôpital bizin bien réfléchi avant rantre dans enn relation sexuelle avek enn zom.,train,204,193,False,False,52,63
"[NAME], si lezot fam pas ley li moisi m pas ley😂😂😂","[NAME], si lezot fam pas lei li. Moisi mo pas lei.😂😂😂",train,52,55,False,False,204,201
"[NAME], eclate so balier","[NAME], eclate so balier.",train,26,27,False,False,230,229
Appel de detresse phare la ou grand noire pa le pez frein🤷‍♀️🤷,"Apel de detresse, phare la? Ou grand noire pa le pez frein?🤷‍♀️🤷",train,64,66,False,False,192,190
Ministre des affaires inutile ki leffet pou ena,Ministre des affaires inutile. Ki lefet pu ena?,train,49,49,False,False,207,207
"[NAME], besoin refusé de voyager avec camarade, fami ki fine soûler..","[NAME], besoin refusé de voyage avec camarade, fami ki finn souler..",train,71,70,False,False,185,186
Windows explorer si li ti ene dimoune 🤡,Windows Explorer si li ti enn dimunn: 🤡,train,41,41,False,False,215,215
Ou conner bousou ou,Ou kone bousou ou?,train,21,20,False,False,235,236
Poisson la ki pou faire hienn vindaye carry etc,"Poisson la ki pu faire hein? Vindaye, kari, etc.",train,49,50,False,False,207,206
A la fin garde p fer so travail apres 10 dimoun fine complain lerla 😳,A la fin garde pe fer so travail apre 10 dimunn finn complain lerla. 😳,train,71,72,False,False,185,184
Less li vine maurice vine prend so piti cannibale la li allé vine defane l'indéfendable,"Laisse li vinn Maurice, vinn prend so piti cannibale la, li ale vinn defane l'indéfendable.",train,89,93,False,False,167,163
"Si 146 pa marsé, bizin call [NAME]","Si 146 pa marse, bizin call [NAME].",train,36,37,False,False,220,219
Bour brit mort brit presse pou al simitier,"Boure brit, mort brit, presse pu ale simityer.",train,44,48,False,False,212,208
Aster someil in kasE,Aster somey inn kase.,train,22,23,False,False,234,233
Si fie zis zot sa zero ale check 1 kou dan sss bel air ki kalite galimatia zot ine fer lor subject planning enfant p stresse pu choisir subject zot one fini,"Si fie zis zot sa zero. Ale check 1 kut. Dan SSS Bel Air, ki kalite galimatia zot inn fer lor subject planning enfant pe stresse pu choisir subject zot one fini?",train,158,163,False,False,98,93
To piti fou sinklè pedal la,"To piti fou, sinkle, pedal la.",train,29,32,False,False,227,224
Mon choisi hier remplie place Pena nous prefer Alle diner grand baie cetais mieux,Mont Choisy hier rempli. Place pena! Nous prefere ale diner Grand Baie. C'étais mieux.,train,83,88,False,False,173,168
Code de la route pas existe dans Maurice tous les jours enan 3 à 4 accidents si c'est pas plus,Code de la route pas existe dans Maurice tulezur ena 3 à 4 accidents si c'est pas plus.,train,96,89,False,False,160,167
Vous pratique Le voodoo chez Vous madam c Bien sa??,"Vous pratique le voodoo chez vous madam, se bien sa??",train,53,55,False,False,203,201
"[NAME], ki vrai b to bisin ale fair test la to mem ki preuve to ena to bisin ale caserne to dire banne la police kan fair test ou bien met to num va fair vannela vine aprane avek toi","[NAME], ki vrai? b to bizin ale fer test la tomem. Ki preuve to ena to bizin ale Casernes to dire bann la police kan fer test ou bien met to nimero? Va fer banla vinn aprann avek toi.",train,184,185,False,False,72,71
[NAME] pena moralité li resse somer emmm.,[NAME] pena moralité li res somer mem.,train,43,40,False,False,213,216
Madame si ou envi vine join li ou capave vine join li dans cell vinee donne donne li tété ou ti la pou ou dire li panne faire sa ou ti pe donne li tété cot ou la bas sem ou dire pas li sa mo coire ou bizin passe oussi tou dans la poudre kentucky,"Madame, si ou anvi vinn join li ou kapav vinn join li dans cell. Vinn donne donne li tete. Ou ti la, pu ou dire li pann faire sa? Ou ti pe donne li tete kot ou laba samem ou dire pas li sa. Mo krwar ou bizin passe osi tnu dans la poudre kentucky.",train,247,248,False,False,9,8
Même pa dir nou kisanla [NAME] dir nou kisanla fam la 🥹,"Mem pa dir nu kisanla [NAME], dir nu kisanla fam la. 🥹",train,57,56,False,False,199,200
Moi tous le temp mone dire re faire test oral couma longtemp ti pe faire,Moi tu letan mon dire re faire test oral kuma lontan ti pe faire.,train,74,67,False,False,182,189
Premier travail dans le morne ki bixin respect sa banne la ki fer nou ile vinne prop ki lerla nou dir li paradise chapeaux a zot merci bocoup me dimoun bixin majinn kinn humain ki remass sa me zot si vinne humain avant pou zot pansei quan al zet saltei,"Premier travail dans le monde ki bizin respect sa bann la kifer nu lil vinn prop, ki lerla nu dir li paradise. Chapeaux a zot, merci buku. Me dimunn bizin mazine kinn humain ki ramasse sa. Me zot si vinn humain avant, pu zot pense kan ale zet salte.",train,254,251,False,False,2,5
"Mo esperé li pa gagne alzeimer, li bliye sa bane priorité qui li p annoncé la","Mo espere li pa gagne Alzheimer, li bliye sa bann priorité qui li pe annonce la.",train,79,82,False,False,177,174
Bzin crase zot fess bien meme p gat ban jeune maurice,Bizin crase zot fesse bien mem. Pe gate bann jeune Maurice.,train,55,61,False,False,201,195
Nek xplik 1 cou ki fer sa system points la in cancel avant et in remet li aster???,Nek eksplik 1 kut kifer sa system points la inn cancel avant et inn remet li aster???,train,84,87,False,False,172,169
Li p koz lor portab tuzur p demanD ki pu kokin enkr🥴,"Li pe koze lor portab, tuzur pe demande: ki pu kokin ankor? 🥴",train,54,63,False,False,202,193
"[NAME], mo frere sa ala mo fini dire zot","[NAME], mo frere sa ala mo fini dire zot.",train,42,43,False,False,214,213
"Trop beaucoup ena, li suffisant la, pas capave donne licence auto ecole couma ti pate, ena certain instructeurs zotte meme zotte bizin alle apprane encore zotte driving licence meme pas encore bien sec","Trop beaucoup ena, li suffisant la, pas kapav donne licence auto lekol kuma ti pate. Ena certain instructeurs zot mem zot bizin ale aprann encore zot driving licence mem pas encore bien sec.",train,203,192,False,False,53,64
"[NAME], trop vrais dimoune p fr kumadir lannee v dir pers la plage boire sou ou pa p mal dir sa","[NAME], trop vrais! Dimunn pe fer kumadir lane vdire: personne la plage, boire, sou. Ou pa pe mal dir sa.",train,97,107,False,False,159,149
Zombie apocalypse 🧟‍♂️,Zombie apocalypse. 🧟‍♂️,train,24,25,False,False,232,231
Zot ti p dire tout correct qui fine arriver un coup,"Zot ti pe dire tu correct, qui finn arrive un kut?",train,53,52,False,False,203,204
[NAME] doctors have family also. Et aussi doctor public sector pas pey bien sa. To ti pu travail 24/7 toi pu meme kantité lapey? Doctors from abroad? Will they accept to do slavery here?,[NAME] doctors have family also. Et aussi doctor public sector pas peye bien sa. To ti pu travail 24/7 toi pu mem kantite lapey? Doctors from abroad? Will they accept to do slavery here?,train,188,188,False,False,68,68
"Ey si envi cancel li cancel footooo nek p amers dimoun ek illégal illégal,,,,,, akoze zot mm tous nous bann artiste p saut delo","Ey si envi cancel li, cancel foutou. Nek pe amerde dimunn ek illégal illégal, akoz zot mem tu nous bann artiste pe saute dilo.",train,129,128,False,False,127,128
Li humoriste ek volerre si..,Li humoriste ek voler si..,train,30,28,False,False,226,228
ine pren ene nissa bien bon mais zis samem zt trver pou fr vine dans soirée ek program🤦‍♀️,"Inn pran enn nisa, bien bon mais zis samem zot truve pu fer vinn dans soirée ek program.🤦‍♀️",train,92,94,False,False,164,162
"[NAME], sa v dire to pa cone 1 ggt. In boir pissar pravin sa. Euta to frustree to pilon dan menole aster","[NAME], sa vdire to pa kone 1 gogot. Inn bwar pisar Pravin sa. Euta! To fristre, to pilon dan menole aster.",train,106,109,False,False,150,147
Quand zotte faire séki zotte envie dans 1 l'école sa qualité rézilta lamem zot pou améner 👎☠️🔥💀,"Quand zot faire seki zot anvi dans 1 l'école, sa qualité rezilta lamem zot pu amenn. 👎☠️🔥💀",train,97,92,False,False,159,164
Ine lheure pou met speed limit partous plis ki 50km pas gagne droit rouler,Inn ler pu met speed limit partu plis ki 50km pas gagne droit roule.,train,76,70,False,False,180,186
LI BIZIN ALLE RAPORT SA CP ALZAIMER LAW & ORDER EXISTE??????,LI BIZIN ALE RAPORT SA CP ALZHEIMER LAW & ORDER EXISTE??????,train,62,62,False,False,194,194
Perna person Pou capave releve sa defie la security Pou vine en plus dan beser perna person ki Pou capave redresse sa situation apart ki ene Mari beser lever lerla Pou coner ki nou nivo ek cot lerla Pou capave met l. ordre,Pena personne pu kapav releve sa defi la. Security pu vinn an plis dan bez. Pena personne ki pu kapav redres sa sitiasion la. Apart ki enn mari bez leve. Lerla pu kone ki nu nivo ek kot. Lerla pu kapav met lord.,train,224,213,False,False,32,43
Qui pe arriver na pa comprend. Paretre un peu compliker bizarement,"Qui pe arrive, napa comprend? Paret un peu complike bizarement.",train,68,65,False,False,188,191
Pu done 2 dimoune travail come securite,Pu donne 2 dimunn travail comme sekirite.,train,41,43,False,False,215,213
P rod rol person pa mem prend tw un cont... Sa mem annné to minis apre 4 ans coumans vand to asset,"Pe rode role, personne pa mem prend twa un kont... Samem annné to minis apre 4 ans komans vande to asset.",train,100,107,False,False,156,149
Mo nepli cone ki pu fr dn moris astr,Mo nepli kone ki pu fer dan Moris aster.,train,38,42,False,False,218,214
Mo rappel li ti p fer pavilion dan rose are so casse.... Envois rs25 dn. L'air..... Dimoun calouber ramasser🤣😅😂 bison met to nom king savers,Mo rapel li ti pe fer pavilion dan rose ar so kas.... Envois rs25 dan. L'air..... Dimunn calouber ramasse🤣😅😂 bizin met to nom king savers.,train,142,140,False,False,114,116
Cet ène signe que la fin du monde s'approche si nous pas résaissi nous maintenant pour trop tard après 3eme guerre mondiale li pa trop loin ban virus non connu et surtout l'hypocrisie ek jalousie humain p prend dessus lor tout le bien mo pas ene prophète de malheur mais la dégradation dans le monde li pa de bonne augures,Se enn signe que la fin du monde s'approche. Si nous pas résaissi nous maintenant pour trop tard après. 3eme guerre mondiale li pa trop loin. Bann virus non connu et surtout l'hypocrisie ek jalousie humain pe prend dessus lor tu le bien. Mo pas enn prophète de malheur mais la dégradation dans le monde li pa de bonne augures?,train,324,328,True,True,0,0
"[NAME], pa angleterre ici.. Al rode to boute labà","[NAME], pa Angleterre ici.. Ale rode to boute laba.",train,51,53,False,False,205,203
Eta sorry pou dire ou.. Bous ou li.,Eta sorry pu dire ou.. Bouss ou liki.,train,37,39,False,False,219,217
"Dan dimoune kav menteur kumsa.... Labank mem pa donne lotorisation pu transfr rs500,000 tw t dr t transfr banla rs550'000. Sa kalit menti la..... Met t statement labank date et heure et t ena camera kt tw met video camera la pu population trouv ki vremem t p koz laverit....","Dan dimunn kapav menteur kumsa.... Labank mem pa donne lotorisation pu transfer Rs500, 000 twa to dir to transfer banla Rs550'000. Sa kalite menti la..... Met to statement labank date et heure et to ena camera kot twa met video camera la pu population truve ki vremem to pe koze laverite....",train,276,293,True,True,0,0
ENE LA BANK FANTOM SA PO SA VOLEZ LA SI FANTOM ET RESSI FER TOUS SA VOLES LA PANDANT UN ANS LA BANK LA SI COMPLICE LI PAS SUPOSÉ SEND REVELER BANKER SAC 6 MOIS,"ENN LABANK FANTOM SA. PU SA VOLER LA SI FANTOM ET RESI FER TOUS SA VOLE LA PANDAN UN ANS? LABANK LA SI COMPLICE, LI PAS SIPOZ SEND REVELER BANKER SAC 6 MOIS?",train,161,159,False,False,95,97
Bien bien triste frere prend courage fer mo larme couler,"Bien bien triste. Frere, prend courage. Fer mo larme koule.",train,58,61,False,False,198,195
Insha Allah cot li ete Allah protege li retourne bien so lkz San aucune diffulter Amen,"InshaAllah, kot li ete Allah protez li. Retourne bien so lakaz san aucune difikilte. Amen.",train,88,92,False,False,168,164
Trop triste courage mr,Trop triste. Courage monsieur.,train,24,32,False,False,232,224
Majorit dimoune kan jet salt zote ferfout zot dimoune li gueter couma li pou ramasser pourvi zote ine jeter sa apel sa ene bezerre mentalit fodrer zote lesprit osi couma salt la meme sa pou fer cumsa,Majorite dimunn kan zet salte zot ferfoute zot. Dimunn li get kuma li pu ramasse pourvi zot inn zet. Sa apel sa en bez mantalite. Fode zot lespri osi kuma salte lamem sa pu fer kumsa.,train,201,185,False,False,55,71
Guet ti tou tou do alkize sinte do,"Get ti toutou dow, Alkize sinte dow.",train,36,38,False,False,220,218
Ban gros anguilles la si zot tour p vini😂😂,Bann gros anguilles la si zot tour pe vini.😂😂,train,44,47,False,False,212,209
Ena bku pa p daccord la police in bat li. B ti bizin faire li boir lacide la???,Ena buku pa pe dakor la police inn bate li. B ti bizin faire li bwar lasid la???,train,81,82,False,False,175,174
"[NAME], banla mm ti tap to la glass la?","[NAME], banla mem ti tape to la glass la?",train,41,43,False,False,215,213
Šofer ki šou bizin fer zott paye tou domage lerla buku ggt pu hesiter pu bwar pisssar rouler,"Sofer ki sou. Bizin fer zot peye tu domage lerla buku gogot pu hesiter pu bwar pisar, roule.",train,94,94,False,False,162,162
Li santé Li Blier si bizin Coz Dan micro bom la Coz franc r piti Li p gat valeur la music p fer Boufon plito,"Li chante. Li bliye si bizin koze dan micro bom la. Koz franc ar piti, li pe gat valeur la music pe fer boufon plito.",train,110,119,False,False,146,137
"[NAME], dimounes touletan ti dir... Zamais rentre dans la guerre mari fam... Solutions la pu sorti enba lili asoir sa, gramatin seki in interfere, ki pu enpliss lerla..???🙉🙊🙈","[NAME], dimunn toultan ti dir... Zame rantre dans la guerre mari fam... Solutions la pu sorti enba lili aswar sa, gramatin seki inn interfere, ki pu enplis lerla..???🙉🙊🙈",train,176,171,False,False,80,85
Peek a boo 👀,Peek a boo. 👀,train,14,15,False,False,242,241
Si ziss van la ti atan 2 3 minutes..,Si zis van la ti atann 2 3 minutes..,train,38,38,False,False,218,218
La honte pou banne artist cumsa...,La honte pu bann artist kumsa...,train,36,34,False,False,220,222
"[NAME], c'est à partir 14 ans en france et en droit déclaré à moins ki patron la malhonnête pas envie déclaré pou pas payé charge","[NAME], c'est à partir 14 ans en France et en droit deklare à moins ki patron la malhonnête, pas anvi deklare, pu pas payé charge.",train,131,132,False,False,125,124
"[NAME], mo ena droit exprime mo point de vue. Tone vine comment lor cki mone ecrire, mo ena droit repone toi. Pa redi apel sa okay. This is called a conversation. If u do not want to be replied back, then don't comment on people's..","[NAME], mo ena droit exprime mo point de vue. Tonn vinn comment lor seki mon ekrir, mo ena droit reponn toi. Pa redi apel sa okay. This is called a conversation. If you do not want to be replied back, then donne'to comment on people's..",train,234,238,False,False,22,18
Belle mantalite mauricien sanse zot civilise tous flic EN flac cumsa zis bord la mer ki nettoy,"Belle mantalite Mauricien! Sanse zot civilise? Tu Flic en Flac kumsa, zis bord la mer ki netoy.",train,96,97,False,False,160,159
Lol astr problem la private tuition 🤣 mais selment dan le passe lepok 2000 zenfant ti p boure lekol pas rentre dan classe dormi dan classe prof lamem pas montre narnie mais resultat la fin lannee tou tir entre 6-18 unites dan classe la 🤣🤣,"Lol. Aster problem la private tuition? 🤣 Mais selma dan le passe lepok 2000, zanfan ti pe boure lekol, pas rantre dan classe, dormi dan classe, professeur lamem pas montre nanyin, mais rezilta la fin lane tu tire entre 6-18 unites dan classe la. 🤣🤣",train,240,250,False,False,16,6
Mons le commissaire bizin vine fer ene site visit ancien station fanfaron sois disant ene batiment historical mais li p servi representative pu ban drogueurs et prostitutes toilet publique peur pu aller car zot attaque ban publique a côté ena ene la foire ki li peu frequenter par publique fer ene bon nettoyage si bizin ramasse zot fer li aret fer negligence combien cas vol avec violence fine ena labas,Monsieur le commissaire bizin vinn fer enn site visit ancien station fanfaron. Swadizan enn batiment historical mais li pe servi representative pu bann drogueurs et prostitutes. Toilet publique peur pu ale car zot attaque bann publique. A kote ena enn la foire ki li peu frekante par publique. Fer enn bon nettoyage si bizin ramasse zot fer li. Aret fer negligence combien cas vol avec violence finn ena laba.,train,406,411,True,True,0,0
Ti ena bkuu ti p dir p baisse standard et niveau leducation kan ti met 3 credit ki zot lopinion avec sa taux reussit la get comien %generation zordi jour pa p mem fouti attendre 3 credit,Ti ena buku ti pe dir pe bese standard et niveau ledikasyon kan ti met 3 credit. Ki zot lopinion avec sa taux reussit la? Get komie %generation zordi jour pa pe mem fouti attendre 3 credit?,train,188,191,False,False,68,65
Liberté changement Zottt,Liberté. Changement zot.,train,26,26,False,False,230,230
"Merci lepxress! Sa tifille et so famille quand pour lire l’article la et pour reconnaître zot mem, et bein, tifille la all vivre dans guilt, dans remord et la honte. Li tousel pour conner ki tournure so lavie pour prend avec sa. En plus dans nous village, kot dimoune premier pour juger et riye lezot.. Bravo à cette journaliste","Merci l'Express! Sa tifi et so famille quand pour lire l’article la et pour reconnaître zot mem, et bein, tifi la ale viv dans guilt, dans remord et la honte. Li tousel pour kone ki tournure so lavi pour prend avec sa. En plus dans nous village, kot dimunn premier pour juger et riye lezot.. Bravo à cette journaliste.",train,330,320,True,True,0,0
Mo espéré pas attend li à jeun avant faire so test🤔,Mo espéré pas atann li à jeune avant faire so test.🤔,train,53,54,False,False,203,202
Mo ena 145. Vh staff pa pu resume jordi. Al ras c,Mo ena 145 vh staff pa pu resume zordi. Ale rase.,train,51,51,False,False,205,205
Si pena zot tou nou salt pou pourri dan lacour 1 grand merci à sa bane dimoune la,Si pena zottu nu salte pu pouri dan lakour. 1 grand merci à sa bann dimunn la.,train,83,80,False,False,173,176
Kan koz menti lo religion de to créateur donc atan consequences desan. Servi religion pour promote bizness crypto. Ena lot enkor mr fess ek bocal dilo. 35k. Lorganiste dans morcellement aurea high lands. Fer attention. Li gn revelation tous li😂😂😂,Kan koze menti lo religion de to créateur donc atann consequences desan. Servi religion pour promote bizness crypto. Ena lot ankor monsieur fesse ek bocal dilo. 35k. Lorganiste dans Morcellement area Highlands. Fer attention. Li gagne revelation tu li.😂😂😂,train,248,257,False,True,8,0
Sofer van la p bour li p vini. Selmen sofer camion la ki entor phare van la p tape lor pas dir li pan trouve li. Line continuer sorti ladan em 1ta lonpi fer sa,"Sofer van la pe boure li pe vini. Selma sofer camion la ki antor, phare van la pe tape lor pas dir li pann truve li. Linn kontiyn sorti ladan mem, enta pilon fer sa.",train,161,167,False,False,95,89
Bateaux etrangers pe cokin par tonnes poissons sa zot pas capave faire narien shame,Bato etranzer pe kokin par tonnes poissons sa zot pas kapav faire nanyin. Shame.,train,85,82,False,False,171,174
Om shanti 🙏... Bondier don sa fami la courage,Om Shanti 🙏... Bondieu donne sa fami la courage.,train,47,50,False,False,209,206
Sa v dire ene reseau net dans la banque,Savedir enn rezo net dans la banque.,train,41,38,False,False,215,218
Mo p prend nissa ziska taler ou demain ena pou vine dir sa c sure,Mo pe prend nisa. Ziska taler ou demain ena pu vinn dir sa se sure.,train,67,69,False,False,189,187
Ki zot pou dir si gard servi tazer gard dominer mo sir si gard kiti bat sa piti 23an la la zot ti pou dir la police dominer,"Ki zot pu dir si garde servi tazer? Garde dominer? Mo sir si garde ki ti bate sa piti 23 an la, la zot ti pu dir: la police dominer.",train,125,134,False,False,131,122
"[NAME], la mange caviar ek langouste.. Nous nous mange sardine ek pilchards","[NAME], la manze caviar ek langouste.. Nous nous manze sardine ek pilchards.",train,77,78,False,False,179,178
Mne deja passe ladans. Mo garçon ti ena 5 ans parla. Li pne reconnaitre place kot nou ti été. Li ti pe nager kan line sorti line al lot place. Nou pne tarder noune marser noune roder. Dieu merci noune truv li kot marsand sorbet.. 1 fraction seconde,Mon deza passe ladan. Mo garçon ti ena 5 ans parla. Li pann rekonet place kot nu ti ete. Li ti pe naze kan linn sorti linn ale lot place. Nu pann tarde nu marse nu rode. Dieu merci nu truve li kot marsan sorbet.. 1 fraction seconde.,train,250,234,False,False,6,22
Zott enan drwa pou pa oblizé ferrr touts ceki dimounn dirr zott. Zott enn humain zott osi.,Zot ena drwa pu pa oblize fer tu seki dimunn dir zot. Zot enn humain zot osi.,train,92,79,False,False,164,177
"Limit vitesse combien labas? Mo pense mm camion la in faut si ti p roule dn limit vitesse, ti cv evit sa.. Mo pense zt pran tou sa bn zafer laem en consideration avan met 1 limite vitesse. Dnc mo pense tou chauffeur bzn kmence respecter sa.. Bon les 2 entor mais malheureusement 1 seul kin ramasse beze 🥹. Bien triste.. Mo espere zt tou servi sa comme 1 lexemple et appran respecte limite vitesse. Personne pa mari lor chemin acz ou cv entor ou en raison, ou mm cv mort.. Hope zt tou ressi korek","Limit vites combien laba? Mo pense mem camion la inn faute si ti pe roule dan limit vites, ti kapav evite sa.. Mo pense zot pran tu sa bann zafer lamem en consideration avant met 1 limite vites. Donc mo pense tu chauffeur bizin kumans respecte sa... Bon les 2 antor mais malheureusement 1 seul kinn ramasse bez. 🥹 Bien triste... Mo espere zottu servi sa comme 1 legzanp et aprann respecte limite vites. Personne pa mari lor chemin akoz ou kapav antor ou en raison, ou mem kapav mort.. Hope zottu resi korek.",train,497,509,True,True,0,0
Bez sa pa don letemp r la fami la courage a tou bien chagrin,Bez sa pa donne letan ar la fami la! Courage a tu. Bien chagrin.,train,62,66,False,False,194,190
[NAME] kot inn mette sa?,[NAME] kot inn met sa?,train,26,24,False,False,230,232
"[NAME],.... Frere.... To bizin fr 1 discour lor li 🙂","[NAME],.... Frere.... To bizin fer 1 discour lor li. 🙂",train,54,56,False,False,202,200
"Bien svt kan mo al marcher lor la plage, mo trouve bane enfants tousel dans de lo, bane parents p cachiete soleil enbas pieds..😡","Bien svt kan mo ale marse lor la plage, mo truve bann enfants tousel dans dilo, bann parents pe kasyet soleil enba pieds..😡",train,130,125,False,False,126,131
Tou kouyon pompier la 😂,Tu kuyon pompier la. 😂,train,25,24,False,False,231,232
Sa ban van contract la roule Mari brite,Sa bann van contract la roule mari brite.,train,41,43,False,False,215,213
Dans place ouvert sipa kmier mall develope ban city centre de ban main la ville afin ban morisiens ek osi tourists kapav jouire pareil kuma dans lezot pays mall la fit sa,"Dans place ouvert sipa komie mall, develope bann city centre de bann main la ville afin bann Morisien ek osi tourists kapav jouire pareil kuma dans lezot pays. Mall la fit sa.",train,172,177,False,False,84,79
Zot apran ek politician pou fermer sa ou pou sorti,Zot aprann ek politician. Pu ferme sa ou pu sorti?,train,52,52,False,False,204,204
