text,standardized,split,input_char_len,target_char_len,input_byte_len,target_byte_len,input_byte_char_ratio,target_byte_char_ratio
Quand bane etranger p vinne la peche dan nou territories ca zot pas trouver ca ban fatra C. G,"Quand bann etranzer pe vinn lapess dan nu territories, sa zot pas truve sa bann fatra C.G.",train,93,90,93,90,1.0,1.0
Ptr ek msm mem zafer sa ptr pli pire letemp guett bien,PTR ek MSM mem zafer sa. PTR plis pire letan get bien.,train,54,54,54,54,1.0,1.0
Chk exhibit la bhai ezan... Tension meya.. Kit kot so banian.,"Sak exhibit la bhai Ezan... Tension meya, kite kot so banian.",train,61,61,61,61,1.0,1.0
Mo espere rien de grave semaa 🙏🙏🙏,Mo espere rien de grave selma. 🙏🙏🙏,train,33,34,42,43,1.2727272727272727,1.2647058823529411
Cyclone la pareil kumn gouvernment laem..... pnahh confience,Cyclone la pareil kuma gouvernment lamem..... Pena confience.,train,60,61,60,61,1.0,1.0
Sofer pou sorti lor kotion,Sofer pu sorti lor kotion.,train,26,26,26,26,1.0,1.0
Banne femme tellement zotte en folie pas capave sans passé zomme pou rester couma [NAME] astere bisin alle reste dans l'hôpital bisin bien réfléchi avant rentre dans ene relation sexuelle avek ene zomme,Bann femme tellement zot en folie pas kapav sans passe zom pu reste kuma [NAME]. Aster bizin ale reste dans l'hôpital bizin bien réfléchi avant rantre dans enn relation sexuelle avek enn zom.,train,202,191,206,194,1.0198019801980198,1.0157068062827226
"[NAME], si lezot fam pas ley li moisi m pas ley😂😂😂","[NAME], si lezot fam pas lei li. Moisi mo pas lei.😂😂😂",train,50,53,59,62,1.18,1.169811320754717
"[NAME], eclate so balier","[NAME], eclate so balier.",train,24,25,24,25,1.0,1.0
Appel de detresse phare la ou grand noire pa le pez frein🤷‍♀️🤷,"Apel de detresse, phare la? Ou grand noire pa le pez frein?🤷‍♀️🤷",train,62,64,74,76,1.1935483870967742,1.1875
Ministre des affaires inutile ki leffet pou ena,Ministre des affaires inutile. Ki lefet pu ena?,train,47,47,47,47,1.0,1.0
"[NAME], besoin refusé de voyager avec camarade, fami ki fine soûler..","[NAME], besoin refusé de voyage avec camarade, fami ki finn souler..",train,69,68,71,69,1.0289855072463767,1.0147058823529411
Windows explorer si li ti ene dimoune 🤡,Windows Explorer si li ti enn dimunn: 🤡,train,39,39,42,42,1.0769230769230769,1.0769230769230769
Ou conner bousou ou,Ou kone bousou ou?,train,19,18,19,18,1.0,1.0
Poisson la ki pou faire hienn vindaye carry etc,"Poisson la ki pu faire hein? Vindaye, kari, etc.",train,47,48,47,48,1.0,1.0
A la fin garde p fer so travail apres 10 dimoun fine complain lerla 😳,A la fin garde pe fer so travail apre 10 dimunn finn complain lerla. 😳,train,69,70,72,73,1.0434782608695652,1.042857142857143
Less li vine maurice vine prend so piti cannibale la li allé vine defane l'indéfendable,"Laisse li vinn Maurice, vinn prend so piti cannibale la, li ale vinn defane l'indéfendable.",train,87,91,89,92,1.0229885057471264,1.010989010989011
"Si 146 pa marsé, bizin call [NAME]","Si 146 pa marse, bizin call [NAME].",train,34,35,35,35,1.0294117647058822,1.0
Bour brit mort brit presse pou al simitier,"Boure brit, mort brit, presse pu ale simityer.",train,42,46,42,46,1.0,1.0
Aster someil in kasE,Aster somey inn kase.,train,20,21,20,21,1.0,1.0
Si fie zis zot sa zero ale check 1 kou dan sss bel air ki kalite galimatia zot ine fer lor subject planning enfant p stresse pu choisir subject zot one fini,"Si fie zis zot sa zero. Ale check 1 kut. Dan SSS Bel Air, ki kalite galimatia zot inn fer lor subject planning enfant pe stresse pu choisir subject zot one fini?",train,156,161,156,161,1.0,1.0
To piti fou sinklè pedal la,"To piti fou, sinkle, pedal la.",train,27,30,28,30,1.037037037037037,1.0
Mon choisi hier remplie place Pena nous prefer Alle diner grand baie cetais mieux,Mont Choisy hier rempli. Place pena! Nous prefere ale diner Grand Baie. C'étais mieux.,train,81,86,81,87,1.0,1.0116279069767442
Code de la route pas existe dans Maurice tous les jours enan 3 à 4 accidents si c'est pas plus,Code de la route pas existe dans Maurice tulezur ena 3 à 4 accidents si c'est pas plus.,train,94,87,95,88,1.0106382978723405,1.0114942528735633
Vous pratique Le voodoo chez Vous madam c Bien sa??,"Vous pratique le voodoo chez vous madam, se bien sa??",train,51,53,51,53,1.0,1.0
"[NAME], ki vrai b to bisin ale fair test la to mem ki preuve to ena to bisin ale caserne to dire banne la police kan fair test ou bien met to num va fair vannela vine aprane avek toi","[NAME], ki vrai? b to bizin ale fer test la tomem. Ki preuve to ena to bizin ale Casernes to dire bann la police kan fer test ou bien met to nimero? Va fer banla vinn aprann avek toi.",train,182,183,182,183,1.0,1.0
[NAME] pena moralité li resse somer emmm.,[NAME] pena moralité li res somer mem.,train,41,38,42,39,1.024390243902439,1.0263157894736843
Madame si ou envi vine join li ou capave vine join li dans cell vinee donne donne li tété ou ti la pou ou dire li panne faire sa ou ti pe donne li tété cot ou la bas sem ou dire pas li sa mo coire ou bizin passe oussi tou dans la poudre kentucky,"Madame, si ou anvi vinn join li ou kapav vinn join li dans cell. Vinn donne donne li tete. Ou ti la, pu ou dire li pann faire sa? Ou ti pe donne li tete kot ou laba samem ou dire pas li sa. Mo krwar ou bizin passe osi tnu dans la poudre kentucky.",train,245,246,249,246,1.0163265306122449,1.0
Même pa dir nou kisanla [NAME] dir nou kisanla fam la 🥹,"Mem pa dir nu kisanla [NAME], dir nu kisanla fam la. 🥹",train,55,54,59,57,1.0727272727272728,1.0555555555555556
Moi tous le temp mone dire re faire test oral couma longtemp ti pe faire,Moi tu letan mon dire re faire test oral kuma lontan ti pe faire.,train,72,65,72,65,1.0,1.0
Premier travail dans le morne ki bixin respect sa banne la ki fer nou ile vinne prop ki lerla nou dir li paradise chapeaux a zot merci bocoup me dimoun bixin majinn kinn humain ki remass sa me zot si vinne humain avant pou zot pansei quan al zet saltei,"Premier travail dans le monde ki bizin respect sa bann la kifer nu lil vinn prop, ki lerla nu dir li paradise. Chapeaux a zot, merci buku. Me dimunn bizin mazine kinn humain ki ramasse sa. Me zot si vinn humain avant, pu zot pense kan ale zet salte.",train,252,249,252,249,1.0,1.0
"Mo esperé li pa gagne alzeimer, li bliye sa bane priorité qui li p annoncé la","Mo espere li pa gagne Alzheimer, li bliye sa bann priorité qui li pe annonce la.",train,77,80,80,81,1.0389610389610389,1.0125
Bzin crase zot fess bien meme p gat ban jeune maurice,Bizin crase zot fesse bien mem. Pe gate bann jeune Maurice.,train,53,59,53,59,1.0,1.0
Nek xplik 1 cou ki fer sa system points la in cancel avant et in remet li aster???,Nek eksplik 1 kut kifer sa system points la inn cancel avant et inn remet li aster???,train,82,85,82,85,1.0,1.0
Li p koz lor portab tuzur p demanD ki pu kokin enkr🥴,"Li pe koze lor portab, tuzur pe demande: ki pu kokin ankor? 🥴",train,52,61,55,64,1.0576923076923077,1.0491803278688525
"[NAME], mo frere sa ala mo fini dire zot","[NAME], mo frere sa ala mo fini dire zot.",train,40,41,40,41,1.0,1.0
"Trop beaucoup ena, li suffisant la, pas capave donne licence auto ecole couma ti pate, ena certain instructeurs zotte meme zotte bizin alle apprane encore zotte driving licence meme pas encore bien sec","Trop beaucoup ena, li suffisant la, pas kapav donne licence auto lekol kuma ti pate. Ena certain instructeurs zot mem zot bizin ale aprann encore zot driving licence mem pas encore bien sec.",train,201,190,201,190,1.0,1.0
"[NAME], trop vrais dimoune p fr kumadir lannee v dir pers la plage boire sou ou pa p mal dir sa","[NAME], trop vrais! Dimunn pe fer kumadir lane vdire: personne la plage, boire, sou. Ou pa pe mal dir sa.",train,95,105,95,105,1.0,1.0
Zombie apocalypse 🧟‍♂️,Zombie apocalypse. 🧟‍♂️,train,22,23,31,32,1.4090909090909092,1.391304347826087
Zot ti p dire tout correct qui fine arriver un coup,"Zot ti pe dire tu correct, qui finn arrive un kut?",train,51,50,51,50,1.0,1.0
[NAME] doctors have family also. Et aussi doctor public sector pas pey bien sa. To ti pu travail 24/7 toi pu meme kantité lapey? Doctors from abroad? Will they accept to do slavery here?,[NAME] doctors have family also. Et aussi doctor public sector pas peye bien sa. To ti pu travail 24/7 toi pu mem kantite lapey? Doctors from abroad? Will they accept to do slavery here?,train,186,186,187,186,1.0053763440860215,1.0
"Ey si envi cancel li cancel footooo nek p amers dimoun ek illégal illégal,,,,,, akoze zot mm tous nous bann artiste p saut delo","Ey si envi cancel li, cancel foutou. Nek pe amerde dimunn ek illégal illégal, akoz zot mem tu nous bann artiste pe saute dilo.",train,127,126,129,128,1.015748031496063,1.0158730158730158
Li humoriste ek volerre si..,Li humoriste ek voler si..,train,28,26,28,26,1.0,1.0
ine pren ene nissa bien bon mais zis samem zt trver pou fr vine dans soirée ek program🤦‍♀️,"Inn pran enn nisa, bien bon mais zis samem zot truve pu fer vinn dans soirée ek program.🤦‍♀️",train,90,92,100,102,1.1111111111111112,1.108695652173913
"[NAME], sa v dire to pa cone 1 ggt. In boir pissar pravin sa. Euta to frustree to pilon dan menole aster","[NAME], sa vdire to pa kone 1 gogot. Inn bwar pisar Pravin sa. Euta! To fristre, to pilon dan menole aster.",train,104,107,104,107,1.0,1.0
Quand zotte faire séki zotte envie dans 1 l'école sa qualité rézilta lamem zot pou améner 👎☠️🔥💀,"Quand zot faire seki zot anvi dans 1 l'école, sa qualité rezilta lamem zot pu amenn. 👎☠️🔥💀",train,95,90,113,105,1.1894736842105262,1.1666666666666667
Ine lheure pou met speed limit partous plis ki 50km pas gagne droit rouler,Inn ler pu met speed limit partu plis ki 50km pas gagne droit roule.,train,74,68,74,68,1.0,1.0
LI BIZIN ALLE RAPORT SA CP ALZAIMER LAW & ORDER EXISTE??????,LI BIZIN ALE RAPORT SA CP ALZHEIMER LAW & ORDER EXISTE??????,train,60,60,60,60,1.0,1.0
Perna person Pou capave releve sa defie la security Pou vine en plus dan beser perna person ki Pou capave redresse sa situation apart ki ene Mari beser lever lerla Pou coner ki nou nivo ek cot lerla Pou capave met l. ordre,Pena personne pu kapav releve sa defi la. Security pu vinn an plis dan bez. Pena personne ki pu kapav redres sa sitiasion la. Apart ki enn mari bez leve. Lerla pu kone ki nu nivo ek kot. Lerla pu kapav met lord.,train,222,211,222,211,1.0,1.0
Qui pe arriver na pa comprend. Paretre un peu compliker bizarement,"Qui pe arrive, napa comprend? Paret un peu complike bizarement.",train,66,63,66,63,1.0,1.0
Pu done 2 dimoune travail come securite,Pu donne 2 dimunn travail comme sekirite.,train,39,41,39,41,1.0,1.0
P rod rol person pa mem prend tw un cont... Sa mem annné to minis apre 4 ans coumans vand to asset,"Pe rode role, personne pa mem prend twa un kont... Samem annné to minis apre 4 ans komans vande to asset.",train,98,105,99,106,1.010204081632653,1.0095238095238095
Mo nepli cone ki pu fr dn moris astr,Mo nepli kone ki pu fer dan Moris aster.,train,36,40,36,40,1.0,1.0
Mo rappel li ti p fer pavilion dan rose are so casse.... Envois rs25 dn. L'air..... Dimoun calouber ramasser🤣😅😂 bison met to nom king savers,Mo rapel li ti pe fer pavilion dan rose ar so kas.... Envois rs25 dan. L'air..... Dimunn calouber ramasse🤣😅😂 bizin met to nom king savers.,train,140,138,149,147,1.0642857142857143,1.065217391304348
Cet ène signe que la fin du monde s'approche si nous pas résaissi nous maintenant pour trop tard après 3eme guerre mondiale li pa trop loin ban virus non connu et surtout l'hypocrisie ek jalousie humain p prend dessus lor tout le bien mo pas ene prophète de malheur mais la dégradation dans le monde li pa de bonne augures,Se enn signe que la fin du monde s'approche. Si nous pas résaissi nous maintenant pour trop tard après. 3eme guerre mondiale li pa trop loin. Bann virus non connu et surtout l'hypocrisie ek jalousie humain pe prend dessus lor tu le bien. Mo pas enn prophète de malheur mais la dégradation dans le monde li pa de bonne augures?,train,322,326,327,330,1.015527950310559,1.0122699386503067
"[NAME], pa angleterre ici.. Al rode to boute labà","[NAME], pa Angleterre ici.. Ale rode to boute laba.",train,49,51,50,51,1.0204081632653061,1.0
Eta sorry pou dire ou.. Bous ou li.,Eta sorry pu dire ou.. Bouss ou liki.,train,35,37,35,37,1.0,1.0
"Dan dimoune kav menteur kumsa.... Labank mem pa donne lotorisation pu transfr rs500,000 tw t dr t transfr banla rs550'000. Sa kalit menti la..... Met t statement labank date et heure et t ena camera kt tw met video camera la pu population trouv ki vremem t p koz laverit....","Dan dimunn kapav menteur kumsa.... Labank mem pa donne lotorisation pu transfer Rs500, 000 twa to dir to transfer banla Rs550'000. Sa kalite menti la..... Met to statement labank date et heure et to ena camera kot twa met video camera la pu population truve ki vremem to pe koze laverite....",train,274,291,274,291,1.0,1.0
ENE LA BANK FANTOM SA PO SA VOLEZ LA SI FANTOM ET RESSI FER TOUS SA VOLES LA PANDANT UN ANS LA BANK LA SI COMPLICE LI PAS SUPOSÉ SEND REVELER BANKER SAC 6 MOIS,"ENN LABANK FANTOM SA. PU SA VOLER LA SI FANTOM ET RESI FER TOUS SA VOLE LA PANDAN UN ANS? LABANK LA SI COMPLICE, LI PAS SIPOZ SEND REVELER BANKER SAC 6 MOIS?",train,159,157,160,157,1.0062893081761006,1.0
Bien bien triste frere prend courage fer mo larme couler,"Bien bien triste. Frere, prend courage. Fer mo larme koule.",train,56,59,56,59,1.0,1.0
Insha Allah cot li ete Allah protege li retourne bien so lkz San aucune diffulter Amen,"InshaAllah, kot li ete Allah protez li. Retourne bien so lakaz san aucune difikilte. Amen.",train,86,90,86,90,1.0,1.0
Trop triste courage mr,Trop triste. Courage monsieur.,train,22,30,22,30,1.0,1.0
Majorit dimoune kan jet salt zote ferfout zot dimoune li gueter couma li pou ramasser pourvi zote ine jeter sa apel sa ene bezerre mentalit fodrer zote lesprit osi couma salt la meme sa pou fer cumsa,Majorite dimunn kan zet salte zot ferfoute zot. Dimunn li get kuma li pu ramasse pourvi zot inn zet. Sa apel sa en bez mantalite. Fode zot lespri osi kuma salte lamem sa pu fer kumsa.,train,199,183,199,183,1.0,1.0
Guet ti tou tou do alkize sinte do,"Get ti toutou dow, Alkize sinte dow.",train,34,36,34,36,1.0,1.0
Ban gros anguilles la si zot tour p vini😂😂,Bann gros anguilles la si zot tour pe vini.😂😂,train,42,45,48,51,1.1428571428571428,1.1333333333333333
Ena bku pa p daccord la police in bat li. B ti bizin faire li boir lacide la???,Ena buku pa pe dakor la police inn bate li. B ti bizin faire li bwar lasid la???,train,79,80,79,80,1.0,1.0
"[NAME], banla mm ti tap to la glass la?","[NAME], banla mem ti tape to la glass la?",train,39,41,39,41,1.0,1.0
Šofer ki šou bizin fer zott paye tou domage lerla buku ggt pu hesiter pu bwar pisssar rouler,"Sofer ki sou. Bizin fer zot peye tu domage lerla buku gogot pu hesiter pu bwar pisar, roule.",train,92,92,94,92,1.0217391304347827,1.0
Li santé Li Blier si bizin Coz Dan micro bom la Coz franc r piti Li p gat valeur la music p fer Boufon plito,"Li chante. Li bliye si bizin koze dan micro bom la. Koz franc ar piti, li pe gat valeur la music pe fer boufon plito.",train,108,117,109,117,1.0092592592592593,1.0
"[NAME], dimounes touletan ti dir... Zamais rentre dans la guerre mari fam... Solutions la pu sorti enba lili asoir sa, gramatin seki in interfere, ki pu enpliss lerla..???🙉🙊🙈","[NAME], dimunn toultan ti dir... Zame rantre dans la guerre mari fam... Solutions la pu sorti enba lili aswar sa, gramatin seki inn interfere, ki pu enplis lerla..???🙉🙊🙈",train,174,169,183,178,1.0517241379310345,1.0532544378698225
Peek a boo 👀,Peek a boo. 👀,train,12,13,15,16,1.25,1.2307692307692308
Si ziss van la ti atan 2 3 minutes..,Si zis van la ti atann 2 3 minutes..,train,36,36,36,36,1.0,1.0
La honte pou banne artist cumsa...,La honte pu bann artist kumsa...,train,34,32,34,32,1.0,1.0
"[NAME], c'est à partir 14 ans en france et en droit déclaré à moins ki patron la malhonnête pas envie déclaré pou pas payé charge","[NAME], c'est à partir 14 ans en France et en droit deklare à moins ki patron la malhonnête, pas anvi deklare, pu pas payé charge.",train,129,130,137,134,1.062015503875969,1.0307692307692307
"[NAME], mo ena droit exprime mo point de vue. Tone vine comment lor cki mone ecrire, mo ena droit repone toi. Pa redi apel sa okay. This is called a conversation. If u do not want to be replied back, then don't comment on people's..","[NAME], mo ena droit exprime mo point de vue. Tonn vinn comment lor seki mon ekrir, mo ena droit reponn toi. Pa redi apel sa okay. This is called a conversation. If you do not want to be replied back, then donne'to comment on people's..",train,232,236,232,236,1.0,1.0
Belle mantalite mauricien sanse zot civilise tous flic EN flac cumsa zis bord la mer ki nettoy,"Belle mantalite Mauricien! Sanse zot civilise? Tu Flic en Flac kumsa, zis bord la mer ki netoy.",train,94,95,94,95,1.0,1.0
Lol astr problem la private tuition 🤣 mais selment dan le passe lepok 2000 zenfant ti p boure lekol pas rentre dan classe dormi dan classe prof lamem pas montre narnie mais resultat la fin lannee tou tir entre 6-18 unites dan classe la 🤣🤣,"Lol. Aster problem la private tuition? 🤣 Mais selma dan le passe lepok 2000, zanfan ti pe boure lekol, pas rantre dan classe, dormi dan classe, professeur lamem pas montre nanyin, mais rezilta la fin lane tu tire entre 6-18 unites dan classe la. 🤣🤣",train,238,248,247,257,1.0378151260504203,1.0362903225806452
Mons le commissaire bizin vine fer ene site visit ancien station fanfaron sois disant ene batiment historical mais li p servi representative pu ban drogueurs et prostitutes toilet publique peur pu aller car zot attaque ban publique a côté ena ene la foire ki li peu frequenter par publique fer ene bon nettoyage si bizin ramasse zot fer li aret fer negligence combien cas vol avec violence fine ena labas,Monsieur le commissaire bizin vinn fer enn site visit ancien station fanfaron. Swadizan enn batiment historical mais li pe servi representative pu bann drogueurs et prostitutes. Toilet publique peur pu ale car zot attaque bann publique. A kote ena enn la foire ki li peu frekante par publique. Fer enn bon nettoyage si bizin ramasse zot fer li. Aret fer negligence combien cas vol avec violence finn ena laba.,train,404,409,406,409,1.004950495049505,1.0
Ti ena bkuu ti p dir p baisse standard et niveau leducation kan ti met 3 credit ki zot lopinion avec sa taux reussit la get comien %generation zordi jour pa p mem fouti attendre 3 credit,Ti ena buku ti pe dir pe bese standard et niveau ledikasyon kan ti met 3 credit. Ki zot lopinion avec sa taux reussit la? Get komie %generation zordi jour pa pe mem fouti attendre 3 credit?,train,186,189,186,189,1.0,1.0
Liberté changement Zottt,Liberté. Changement zot.,train,24,24,25,25,1.0416666666666667,1.0416666666666667
"Merci lepxress! Sa tifille et so famille quand pour lire l’article la et pour reconnaître zot mem, et bein, tifille la all vivre dans guilt, dans remord et la honte. Li tousel pour conner ki tournure so lavie pour prend avec sa. En plus dans nous village, kot dimoune premier pour juger et riye lezot.. Bravo à cette journaliste","Merci l'Express! Sa tifi et so famille quand pour lire l’article la et pour reconnaître zot mem, et bein, tifi la ale viv dans guilt, dans remord et la honte. Li tousel pour kone ki tournure so lavi pour prend avec sa. En plus dans nous village, kot dimunn premier pour juger et riye lezot.. Bravo à cette journaliste.",train,328,318,332,322,1.0121951219512195,1.0125786163522013
Mo espéré pas attend li à jeun avant faire so test🤔,Mo espéré pas atann li à jeune avant faire so test.🤔,train,51,52,57,58,1.1176470588235294,1.1153846153846154
Mo ena 145. Vh staff pa pu resume jordi. Al ras c,Mo ena 145 vh staff pa pu resume zordi. Ale rase.,train,49,49,49,49,1.0,1.0
Si pena zot tou nou salt pou pourri dan lacour 1 grand merci à sa bane dimoune la,Si pena zottu nu salte pu pouri dan lakour. 1 grand merci à sa bann dimunn la.,train,81,78,82,79,1.0123456790123457,1.0128205128205128
Kan koz menti lo religion de to créateur donc atan consequences desan. Servi religion pour promote bizness crypto. Ena lot enkor mr fess ek bocal dilo. 35k. Lorganiste dans morcellement aurea high lands. Fer attention. Li gn revelation tous li😂😂😂,Kan koze menti lo religion de to créateur donc atann consequences desan. Servi religion pour promote bizness crypto. Ena lot ankor monsieur fesse ek bocal dilo. 35k. Lorganiste dans Morcellement area Highlands. Fer attention. Li gagne revelation tu li.😂😂😂,train,246,255,256,265,1.0406504065040652,1.0392156862745099
Sofer van la p bour li p vini. Selmen sofer camion la ki entor phare van la p tape lor pas dir li pan trouve li. Line continuer sorti ladan em 1ta lonpi fer sa,"Sofer van la pe boure li pe vini. Selma sofer camion la ki antor, phare van la pe tape lor pas dir li pann truve li. Linn kontiyn sorti ladan mem, enta pilon fer sa.",train,159,165,159,165,1.0,1.0
Bateaux etrangers pe cokin par tonnes poissons sa zot pas capave faire narien shame,Bato etranzer pe kokin par tonnes poissons sa zot pas kapav faire nanyin. Shame.,train,83,80,83,80,1.0,1.0
Om shanti 🙏... Bondier don sa fami la courage,Om Shanti 🙏... Bondieu donne sa fami la courage.,train,45,48,48,51,1.0666666666666667,1.0625
Sa v dire ene reseau net dans la banque,Savedir enn rezo net dans la banque.,train,39,36,39,36,1.0,1.0
Mo p prend nissa ziska taler ou demain ena pou vine dir sa c sure,Mo pe prend nisa. Ziska taler ou demain ena pu vinn dir sa se sure.,train,65,67,65,67,1.0,1.0
Ki zot pou dir si gard servi tazer gard dominer mo sir si gard kiti bat sa piti 23an la la zot ti pou dir la police dominer,"Ki zot pu dir si garde servi tazer? Garde dominer? Mo sir si garde ki ti bate sa piti 23 an la, la zot ti pu dir: la police dominer.",train,123,132,123,132,1.0,1.0
"[NAME], la mange caviar ek langouste.. Nous nous mange sardine ek pilchards","[NAME], la manze caviar ek langouste.. Nous nous manze sardine ek pilchards.",train,75,76,75,76,1.0,1.0
Mne deja passe ladans. Mo garçon ti ena 5 ans parla. Li pne reconnaitre place kot nou ti été. Li ti pe nager kan line sorti line al lot place. Nou pne tarder noune marser noune roder. Dieu merci noune truv li kot marsand sorbet.. 1 fraction seconde,Mon deza passe ladan. Mo garçon ti ena 5 ans parla. Li pann rekonet place kot nu ti ete. Li ti pe naze kan linn sorti linn ale lot place. Nu pann tarde nu marse nu rode. Dieu merci nu truve li kot marsan sorbet.. 1 fraction seconde.,train,248,232,251,233,1.0120967741935485,1.0043103448275863
Zott enan drwa pou pa oblizé ferrr touts ceki dimounn dirr zott. Zott enn humain zott osi.,Zot ena drwa pu pa oblize fer tu seki dimunn dir zot. Zot enn humain zot osi.,train,90,77,91,77,1.011111111111111,1.0
