text,standardized,split,prefixed_input,input_word_len,target_word_len,input_char_len,target_char_len,prefixed_input_token_len,target_token_len,input_token_word_ratio,target_token_word_ratio,input_has_unk,target_has_unk,input_truncated,target_truncated
Enfant gagne trop beaucoup facilité zot ferfoutre ek l'education pe alle l'ecole comment dire pe alle dans discotheque faux cils faux ongles la tete tout couleurs uniforme la ti capave pas met meme bane tifi la tous zot l'entraille dehors mo dire la faute aux parents carrémement a ne pas sortir de la,"Enfant gagne trop beaucoup facilité zot ferfoute ek ledikasyon. Pe ale l'ecole comment dire pe ale dans discotheque. Faux cils, faux ongles, latet tu couleurs, uniforme la ti kapav pas met mem bann tifi la tu zot l'entraille dehors. Mo dire la faute aux parents carrémement a ne pas sortir de la.",train,restore Mauritian Creole text: Enfant gagne trop beaucoup facilité zot ferfoutre ek l'education pe alle l'ecole comment dire pe alle dans discotheque faux cils faux ongles la tete tout couleurs uniforme la ti capave pas met meme bane tifi la tous zot l'entraille dehors mo dire la faute aux parents carrémement a ne pas sortir de la,53,52,301,296,117,122,2.207547169811321,2.3461538461538463,False,False,False,False
Sanla ena valise lotla coffre apres ggn gran gopia baboulall enkor fr sa ban voleur la confiance et p osi soutenir zot lorla zot p enkor croir zot lavie pu ameliorer r zot saem dir lespoir fait vive les imbecile nou en 2026 la essay kass lesprit ek mentaliter bloké ki zot ena la aret soutenir et garde confiance sa ban voleur ki p enrichi zot ek zot proche lerla ki nou pu trouve vrai changement,"Sanla ena valise, lot la coffre. Apre, gagne gran gopia baboulall ankor fer sa bann voleur la confiance et pe osi soutenir zot. Lor la zot pe ankor krwar zot lavi pu amelyor ar zot. Samem dir l’espoir fait viv les imbéciles. Nu en 2026 la, esey kase lespri ek mantalite bloke ki zot ena la. Aret soutenir et garde confiance sa bann voleur ki pe enrichi zot ek zot proche, lerla ki nu pu truve vrai changement.",train,restore Mauritian Creole text: Sanla ena valise lotla coffre apres ggn gran gopia baboulall enkor fr sa ban voleur la confiance et p osi soutenir zot lorla zot p enkor croir zot lavie pu ameliorer r zot saem dir lespoir fait vive les imbecile nou en 2026 la essay kass lesprit ek mentaliter bloké ki zot ena la aret soutenir et garde confiance sa ban voleur ki p enrichi zot ek zot proche lerla ki nou pu trouve vrai changement,76,78,396,409,186,192,2.4473684210526314,2.4615384615384617,False,False,False,False
Bizin mettre zotte nom full pou public conner ki senla sa.,Bizin met zot nom full pu public kone kisanla sa.,train,restore Mauritian Creole text: Bizin mettre zotte nom full pou public conner ki senla sa.,11,10,58,49,33,23,3.0,2.3,False,False,False,False
"[NAME], français ou francois sa","[NAME], Français ou francois sa?",train,"restore Mauritian Creole text: [NAME], français ou francois sa",5,5,31,32,23,15,4.6,3.0,False,False,False,False
"[NAME], ale lecole trankil banes toutouk zot 🤣🤣🤣","[NAME], ale lekol trankil, bann toutouk zot.🤣🤣🤣",train,"restore Mauritian Creole text: [NAME], ale lecole trankil banes toutouk zot 🤣🤣🤣",8,7,48,47,34,24,4.25,3.4285714285714284,True,True,False,False
Eski ban zenfan safe dan lekol government,Eski bann zanfan safe dan lekol government?,train,restore Mauritian Creole text: Eski ban zenfan safe dan lekol government,7,7,41,43,22,15,3.142857142857143,2.142857142857143,False,False,False,False
Ale do,Ale dow!,train,restore Mauritian Creole text: Ale do,2,2,6,8,12,5,6.0,2.5,False,False,False,False
Quand bane etranger p vinne la peche dan nou territories ca zot pas trouver ca ban fatra C. G,"Quand bann etranzer pe vinn lapess dan nu territories, sa zot pas truve sa bann fatra C.G.",train,restore Mauritian Creole text: Quand bane etranger p vinne la peche dan nou territories ca zot pas trouver ca ban fatra C. G,19,17,93,90,44,43,2.3157894736842106,2.5294117647058822,False,False,False,False
Ptr ek msm mem zafer sa ptr pli pire letemp guett bien,PTR ek MSM mem zafer sa. PTR plis pire letan get bien.,train,restore Mauritian Creole text: Ptr ek msm mem zafer sa ptr pli pire letemp guett bien,12,12,54,54,44,30,3.6666666666666665,2.5,False,False,False,False
Chk exhibit la bhai ezan... Tension meya.. Kit kot so banian.,"Sak exhibit la bhai Ezan... Tension meya, kite kot so banian.",train,restore Mauritian Creole text: Chk exhibit la bhai ezan... Tension meya.. Kit kot so banian.,11,11,61,61,36,25,3.272727272727273,2.272727272727273,False,False,False,False
Mo espere rien de grave semaa 🙏🙏🙏,Mo espere rien de grave selma. 🙏🙏🙏,train,restore Mauritian Creole text: Mo espere rien de grave semaa 🙏🙏🙏,7,7,33,34,25,17,3.5714285714285716,2.4285714285714284,True,True,False,False
Cyclone la pareil kumn gouvernment laem..... pnahh confience,Cyclone la pareil kuma gouvernment lamem..... Pena confience.,train,restore Mauritian Creole text: Cyclone la pareil kumn gouvernment laem..... pnahh confience,8,8,60,61,33,23,4.125,2.875,False,False,False,False
Sofer pou sorti lor kotion,Sofer pu sorti lor kotion.,train,restore Mauritian Creole text: Sofer pou sorti lor kotion,5,5,26,26,21,13,4.2,2.6,False,False,False,False
Banne femme tellement zotte en folie pas capave sans passé zomme pou rester couma [NAME] astere bisin alle reste dans l'hôpital bisin bien réfléchi avant rentre dans ene relation sexuelle avek ene zomme,Bann femme tellement zot en folie pas kapav sans passe zom pu reste kuma [NAME]. Aster bizin ale reste dans l'hôpital bizin bien réfléchi avant rantre dans enn relation sexuelle avek enn zom.,train,restore Mauritian Creole text: Banne femme tellement zotte en folie pas capave sans passé zomme pou rester couma [NAME] astere bisin alle reste dans l'hôpital bisin bien réfléchi avant rentre dans ene relation sexuelle avek ene zomme,33,33,202,191,76,75,2.303030303030303,2.272727272727273,False,False,False,False
"[NAME], si lezot fam pas ley li moisi m pas ley😂😂😂","[NAME], si lezot fam pas lei li. Moisi mo pas lei.😂😂😂",train,"restore Mauritian Creole text: [NAME], si lezot fam pas ley li moisi m pas ley😂😂😂",11,11,50,53,36,27,3.272727272727273,2.4545454545454546,True,True,False,False
"[NAME], eclate so balier","[NAME], eclate so balier.",train,"restore Mauritian Creole text: [NAME], eclate so balier",4,4,24,25,21,13,5.25,3.25,False,False,False,False
Appel de detresse phare la ou grand noire pa le pez frein🤷‍♀️🤷,"Apel de detresse, phare la? Ou grand noire pa le pez frein?🤷‍♀️🤷",train,restore Mauritian Creole text: Appel de detresse phare la ou grand noire pa le pez frein🤷‍♀️🤷,12,12,62,64,33,27,2.75,2.25,True,True,False,False
Ministre des affaires inutile ki leffet pou ena,Ministre des affaires inutile. Ki lefet pu ena?,train,restore Mauritian Creole text: Ministre des affaires inutile ki leffet pou ena,8,8,47,47,26,19,3.25,2.375,False,False,False,False
"[NAME], besoin refusé de voyager avec camarade, fami ki fine soûler..","[NAME], besoin refusé de voyage avec camarade, fami ki finn souler..",train,"restore Mauritian Creole text: [NAME], besoin refusé de voyager avec camarade, fami ki fine soûler..",11,11,69,68,36,26,3.272727272727273,2.3636363636363638,False,False,False,False
Windows explorer si li ti ene dimoune 🤡,Windows Explorer si li ti enn dimunn: 🤡,train,restore Mauritian Creole text: Windows explorer si li ti ene dimoune 🤡,8,8,39,39,28,19,3.5,2.375,True,True,False,False
Ou conner bousou ou,Ou kone bousou ou?,train,restore Mauritian Creole text: Ou conner bousou ou,4,4,19,18,18,10,4.5,2.5,False,False,False,False
Poisson la ki pou faire hienn vindaye carry etc,"Poisson la ki pu faire hein? Vindaye, kari, etc.",train,restore Mauritian Creole text: Poisson la ki pou faire hienn vindaye carry etc,9,9,47,48,25,22,2.7777777777777777,2.4444444444444446,False,False,False,False
A la fin garde p fer so travail apres 10 dimoun fine complain lerla 😳,A la fin garde pe fer so travail apre 10 dimunn finn complain lerla. 😳,train,restore Mauritian Creole text: A la fin garde p fer so travail apres 10 dimoun fine complain lerla 😳,15,15,69,70,34,26,2.2666666666666666,1.7333333333333334,True,True,False,False
Less li vine maurice vine prend so piti cannibale la li allé vine defane l'indéfendable,"Laisse li vinn Maurice, vinn prend so piti cannibale la, li ale vinn defane l'indéfendable.",train,restore Mauritian Creole text: Less li vine maurice vine prend so piti cannibale la li allé vine defane l'indéfendable,15,15,87,91,47,42,3.1333333333333333,2.8,False,False,False,False
"Si 146 pa marsé, bizin call [NAME]","Si 146 pa marse, bizin call [NAME].",train,"restore Mauritian Creole text: Si 146 pa marsé, bizin call [NAME]",7,7,34,35,25,16,3.5714285714285716,2.2857142857142856,False,False,False,False
Bour brit mort brit presse pou al simitier,"Boure brit, mort brit, presse pu ale simityer.",train,restore Mauritian Creole text: Bour brit mort brit presse pou al simitier,8,8,42,46,24,19,3.0,2.375,False,False,False,False
Aster someil in kasE,Aster somey inn kase.,train,restore Mauritian Creole text: Aster someil in kasE,4,4,20,21,19,12,4.75,3.0,False,False,False,False
Si fie zis zot sa zero ale check 1 kou dan sss bel air ki kalite galimatia zot ine fer lor subject planning enfant p stresse pu choisir subject zot one fini,"Si fie zis zot sa zero. Ale check 1 kut. Dan SSS Bel Air, ki kalite galimatia zot inn fer lor subject planning enfant pe stresse pu choisir subject zot one fini?",train,restore Mauritian Creole text: Si fie zis zot sa zero ale check 1 kou dan sss bel air ki kalite galimatia zot ine fer lor subject planning enfant p stresse pu choisir subject zot one fini,32,32,156,161,73,63,2.28125,1.96875,False,False,False,False
To piti fou sinklè pedal la,"To piti fou, sinkle, pedal la.",train,restore Mauritian Creole text: To piti fou sinklè pedal la,6,6,27,30,19,12,3.1666666666666665,2.0,False,False,False,False
Mon choisi hier remplie place Pena nous prefer Alle diner grand baie cetais mieux,Mont Choisy hier rempli. Place pena! Nous prefere ale diner Grand Baie. C'étais mieux.,train,restore Mauritian Creole text: Mon choisi hier remplie place Pena nous prefer Alle diner grand baie cetais mieux,14,14,81,86,29,27,2.0714285714285716,1.9285714285714286,False,False,False,False
Code de la route pas existe dans Maurice tous les jours enan 3 à 4 accidents si c'est pas plus,Code de la route pas existe dans Maurice tulezur ena 3 à 4 accidents si c'est pas plus.,train,restore Mauritian Creole text: Code de la route pas existe dans Maurice tous les jours enan 3 à 4 accidents si c'est pas plus,20,18,94,87,37,30,1.85,1.6666666666666667,False,False,False,False
Vous pratique Le voodoo chez Vous madam c Bien sa??,"Vous pratique le voodoo chez vous madam, se bien sa??",train,restore Mauritian Creole text: Vous pratique Le voodoo chez Vous madam c Bien sa??,10,10,51,53,32,22,3.2,2.2,False,False,False,False
"[NAME], ki vrai b to bisin ale fair test la to mem ki preuve to ena to bisin ale caserne to dire banne la police kan fair test ou bien met to num va fair vannela vine aprane avek toi","[NAME], ki vrai? b to bizin ale fer test la tomem. Ki preuve to ena to bizin ale Casernes to dire bann la police kan fer test ou bien met to nimero? Va fer banla vinn aprann avek toi.",train,"restore Mauritian Creole text: [NAME], ki vrai b to bisin ale fair test la to mem ki preuve to ena to bisin ale caserne to dire banne la police kan fair test ou bien met to num va fair vannela vine aprane avek toi",40,39,182,183,77,78,1.925,2.0,False,False,False,False
[NAME] pena moralité li resse somer emmm.,[NAME] pena moralité li res somer mem.,train,restore Mauritian Creole text: [NAME] pena moralité li resse somer emmm.,7,7,41,38,31,20,4.428571428571429,2.857142857142857,False,False,False,False
Madame si ou envi vine join li ou capave vine join li dans cell vinee donne donne li tété ou ti la pou ou dire li panne faire sa ou ti pe donne li tété cot ou la bas sem ou dire pas li sa mo coire ou bizin passe oussi tou dans la poudre kentucky,"Madame, si ou anvi vinn join li ou kapav vinn join li dans cell. Vinn donne donne li tete. Ou ti la, pu ou dire li pann faire sa? Ou ti pe donne li tete kot ou laba samem ou dire pas li sa. Mo krwar ou bizin passe osi tnu dans la poudre kentucky.",train,restore Mauritian Creole text: Madame si ou envi vine join li ou capave vine join li dans cell vinee donne donne li tété ou ti la pou ou dire li panne faire sa ou ti pe donne li tété cot ou la bas sem ou dire pas li sa mo coire ou bizin passe oussi tou dans la poudre kentucky,56,55,245,246,109,111,1.9464285714285714,2.018181818181818,False,False,False,False
Même pa dir nou kisanla [NAME] dir nou kisanla fam la 🥹,"Mem pa dir nu kisanla [NAME], dir nu kisanla fam la. 🥹",train,restore Mauritian Creole text: Même pa dir nou kisanla [NAME] dir nou kisanla fam la 🥹,12,12,55,54,37,29,3.0833333333333335,2.4166666666666665,True,True,False,False
Moi tous le temp mone dire re faire test oral couma longtemp ti pe faire,Moi tu letan mon dire re faire test oral kuma lontan ti pe faire.,train,restore Mauritian Creole text: Moi tous le temp mone dire re faire test oral couma longtemp ti pe faire,15,14,72,65,32,28,2.1333333333333333,2.0,False,False,False,False
Premier travail dans le morne ki bixin respect sa banne la ki fer nou ile vinne prop ki lerla nou dir li paradise chapeaux a zot merci bocoup me dimoun bixin majinn kinn humain ki remass sa me zot si vinne humain avant pou zot pansei quan al zet saltei,"Premier travail dans le monde ki bizin respect sa bann la kifer nu lil vinn prop, ki lerla nu dir li paradise. Chapeaux a zot, merci buku. Me dimunn bizin mazine kinn humain ki ramasse sa. Me zot si vinn humain avant, pu zot pense kan ale zet salte.",train,restore Mauritian Creole text: Premier travail dans le morne ki bixin respect sa banne la ki fer nou ile vinne prop ki lerla nou dir li paradise chapeaux a zot merci bocoup me dimoun bixin majinn kinn humain ki remass sa me zot si vinne humain avant pou zot pansei quan al zet saltei,50,49,252,249,118,106,2.36,2.163265306122449,False,False,False,False
"Mo esperé li pa gagne alzeimer, li bliye sa bane priorité qui li p annoncé la","Mo espere li pa gagne Alzheimer, li bliye sa bann priorité qui li pe annonce la.",train,"restore Mauritian Creole text: Mo esperé li pa gagne alzeimer, li bliye sa bane priorité qui li p annoncé la",16,16,77,80,48,37,3.0,2.3125,False,False,False,False
Bzin crase zot fess bien meme p gat ban jeune maurice,Bizin crase zot fesse bien mem. Pe gate bann jeune Maurice.,train,restore Mauritian Creole text: Bzin crase zot fess bien meme p gat ban jeune maurice,11,11,53,59,36,26,3.272727272727273,2.3636363636363638,False,False,False,False
Nek xplik 1 cou ki fer sa system points la in cancel avant et in remet li aster???,Nek eksplik 1 kut kifer sa system points la inn cancel avant et inn remet li aster???,train,restore Mauritian Creole text: Nek xplik 1 cou ki fer sa system points la in cancel avant et in remet li aster???,18,17,82,85,45,38,2.5,2.235294117647059,False,False,False,False
Li p koz lor portab tuzur p demanD ki pu kokin enkr🥴,"Li pe koze lor portab, tuzur pe demande: ki pu kokin ankor? 🥴",train,restore Mauritian Creole text: Li p koz lor portab tuzur p demanD ki pu kokin enkr🥴,12,13,52,61,44,33,3.6666666666666665,2.5384615384615383,True,True,False,False
"[NAME], mo frere sa ala mo fini dire zot","[NAME], mo frere sa ala mo fini dire zot.",train,"restore Mauritian Creole text: [NAME], mo frere sa ala mo fini dire zot",9,9,40,41,31,23,3.4444444444444446,2.5555555555555554,False,False,False,False
"Trop beaucoup ena, li suffisant la, pas capave donne licence auto ecole couma ti pate, ena certain instructeurs zotte meme zotte bizin alle apprane encore zotte driving licence meme pas encore bien sec","Trop beaucoup ena, li suffisant la, pas kapav donne licence auto lekol kuma ti pate. Ena certain instructeurs zot mem zot bizin ale aprann encore zot driving licence mem pas encore bien sec.",train,"restore Mauritian Creole text: Trop beaucoup ena, li suffisant la, pas capave donne licence auto ecole couma ti pate, ena certain instructeurs zotte meme zotte bizin alle apprane encore zotte driving licence meme pas encore bien sec",33,33,201,190,71,71,2.1515151515151514,2.1515151515151514,False,False,False,False
"[NAME], trop vrais dimoune p fr kumadir lannee v dir pers la plage boire sou ou pa p mal dir sa","[NAME], trop vrais! Dimunn pe fer kumadir lane vdire: personne la plage, boire, sou. Ou pa pe mal dir sa.",train,"restore Mauritian Creole text: [NAME], trop vrais dimoune p fr kumadir lannee v dir pers la plage boire sou ou pa p mal dir sa",21,20,95,105,52,45,2.4761904761904763,2.25,False,False,False,False
Zombie apocalypse 🧟‍♂️,Zombie apocalypse. 🧟‍♂️,train,restore Mauritian Creole text: Zombie apocalypse 🧟‍♂️,3,3,22,23,25,17,8.333333333333334,5.666666666666667,True,True,False,False
Zot ti p dire tout correct qui fine arriver un coup,"Zot ti pe dire tu correct, qui finn arrive un kut?",train,restore Mauritian Creole text: Zot ti p dire tout correct qui fine arriver un coup,11,11,51,50,26,22,2.3636363636363638,2.0,False,False,False,False
[NAME] doctors have family also. Et aussi doctor public sector pas pey bien sa. To ti pu travail 24/7 toi pu meme kantité lapey? Doctors from abroad? Will they accept to do slavery here?,[NAME] doctors have family also. Et aussi doctor public sector pas peye bien sa. To ti pu travail 24/7 toi pu mem kantite lapey? Doctors from abroad? Will they accept to do slavery here?,train,restore Mauritian Creole text: [NAME] doctors have family also. Et aussi doctor public sector pas pey bien sa. To ti pu travail 24/7 toi pu meme kantité lapey? Doctors from abroad? Will they accept to do slavery here?,34,34,186,186,64,58,1.8823529411764706,1.7058823529411764,False,False,False,False
"Ey si envi cancel li cancel footooo nek p amers dimoun ek illégal illégal,,,,,, akoze zot mm tous nous bann artiste p saut delo","Ey si envi cancel li, cancel foutou. Nek pe amerde dimunn ek illégal illégal, akoz zot mem tu nous bann artiste pe saute dilo.",train,"restore Mauritian Creole text: Ey si envi cancel li cancel footooo nek p amers dimoun ek illégal illégal,,,,,, akoze zot mm tous nous bann artiste p saut delo",24,24,127,126,74,63,3.0833333333333335,2.625,False,False,False,False
Li humoriste ek volerre si..,Li humoriste ek voler si..,train,restore Mauritian Creole text: Li humoriste ek volerre si..,5,5,28,26,23,13,4.6,2.6,False,False,False,False
ine pren ene nissa bien bon mais zis samem zt trver pou fr vine dans soirée ek program🤦‍♀️,"Inn pran enn nisa, bien bon mais zis samem zot truve pu fer vinn dans soirée ek program.🤦‍♀️",train,restore Mauritian Creole text: ine pren ene nissa bien bon mais zis samem zt trver pou fr vine dans soirée ek program🤦‍♀️,18,18,90,92,47,41,2.611111111111111,2.2777777777777777,True,True,False,False
"[NAME], sa v dire to pa cone 1 ggt. In boir pissar pravin sa. Euta to frustree to pilon dan menole aster","[NAME], sa vdire to pa kone 1 gogot. Inn bwar pisar Pravin sa. Euta! To fristre, to pilon dan menole aster.",train,"restore Mauritian Creole text: [NAME], sa v dire to pa cone 1 ggt. In boir pissar pravin sa. Euta to frustree to pilon dan menole aster",22,21,104,107,61,54,2.772727272727273,2.5714285714285716,False,False,False,False
Quand zotte faire séki zotte envie dans 1 l'école sa qualité rézilta lamem zot pou améner 👎☠️🔥💀,"Quand zot faire seki zot anvi dans 1 l'école, sa qualité rezilta lamem zot pu amenn. 👎☠️🔥💀",train,restore Mauritian Creole text: Quand zotte faire séki zotte envie dans 1 l'école sa qualité rézilta lamem zot pou améner 👎☠️🔥💀,17,17,95,90,51,45,3.0,2.6470588235294117,True,True,False,False
Ine lheure pou met speed limit partous plis ki 50km pas gagne droit rouler,Inn ler pu met speed limit partu plis ki 50km pas gagne droit roule.,train,restore Mauritian Creole text: Ine lheure pou met speed limit partous plis ki 50km pas gagne droit rouler,14,14,74,68,36,27,2.5714285714285716,1.9285714285714286,False,False,False,False
LI BIZIN ALLE RAPORT SA CP ALZAIMER LAW & ORDER EXISTE??????,LI BIZIN ALE RAPORT SA CP ALZHEIMER LAW & ORDER EXISTE??????,train,restore Mauritian Creole text: LI BIZIN ALLE RAPORT SA CP ALZAIMER LAW & ORDER EXISTE??????,11,11,60,60,38,30,3.4545454545454546,2.727272727272727,False,False,False,False
Perna person Pou capave releve sa defie la security Pou vine en plus dan beser perna person ki Pou capave redresse sa situation apart ki ene Mari beser lever lerla Pou coner ki nou nivo ek cot lerla Pou capave met l. ordre,Pena personne pu kapav releve sa defi la. Security pu vinn an plis dan bez. Pena personne ki pu kapav redres sa sitiasion la. Apart ki enn mari bez leve. Lerla pu kone ki nu nivo ek kot. Lerla pu kapav met lord.,train,restore Mauritian Creole text: Perna person Pou capave releve sa defie la security Pou vine en plus dan beser perna person ki Pou capave redresse sa situation apart ki ene Mari beser lever lerla Pou coner ki nou nivo ek cot lerla Pou capave met l. ordre,43,43,222,211,97,98,2.255813953488372,2.2790697674418605,False,False,False,False
Qui pe arriver na pa comprend. Paretre un peu compliker bizarement,"Qui pe arrive, napa comprend? Paret un peu complike bizarement.",train,restore Mauritian Creole text: Qui pe arriver na pa comprend. Paretre un peu compliker bizarement,11,10,66,63,32,21,2.909090909090909,2.1,False,False,False,False
Pu done 2 dimoune travail come securite,Pu donne 2 dimunn travail comme sekirite.,train,restore Mauritian Creole text: Pu done 2 dimoune travail come securite,7,7,39,41,21,13,3.0,1.8571428571428572,False,False,False,False
P rod rol person pa mem prend tw un cont... Sa mem annné to minis apre 4 ans coumans vand to asset,"Pe rode role, personne pa mem prend twa un kont... Samem annné to minis apre 4 ans komans vande to asset.",train,restore Mauritian Creole text: P rod rol person pa mem prend tw un cont... Sa mem annné to minis apre 4 ans coumans vand to asset,22,21,98,105,49,42,2.227272727272727,2.0,False,False,False,False
Mo nepli cone ki pu fr dn moris astr,Mo nepli kone ki pu fer dan Moris aster.,train,restore Mauritian Creole text: Mo nepli cone ki pu fr dn moris astr,9,9,36,40,27,20,3.0,2.2222222222222223,False,False,False,False
Mo rappel li ti p fer pavilion dan rose are so casse.... Envois rs25 dn. L'air..... Dimoun calouber ramasser🤣😅😂 bison met to nom king savers,Mo rapel li ti pe fer pavilion dan rose ar so kas.... Envois rs25 dan. L'air..... Dimunn calouber ramasse🤣😅😂 bizin met to nom king savers.,train,restore Mauritian Creole text: Mo rappel li ti p fer pavilion dan rose are so casse.... Envois rs25 dn. L'air..... Dimoun calouber ramasser🤣😅😂 bison met to nom king savers,25,25,140,138,68,62,2.72,2.48,True,True,False,False
Cet ène signe que la fin du monde s'approche si nous pas résaissi nous maintenant pour trop tard après 3eme guerre mondiale li pa trop loin ban virus non connu et surtout l'hypocrisie ek jalousie humain p prend dessus lor tout le bien mo pas ene prophète de malheur mais la dégradation dans le monde li pa de bonne augures,Se enn signe que la fin du monde s'approche. Si nous pas résaissi nous maintenant pour trop tard après. 3eme guerre mondiale li pa trop loin. Bann virus non connu et surtout l'hypocrisie ek jalousie humain pe prend dessus lor tu le bien. Mo pas enn prophète de malheur mais la dégradation dans le monde li pa de bonne augures?,train,restore Mauritian Creole text: Cet ène signe que la fin du monde s'approche si nous pas résaissi nous maintenant pour trop tard après 3eme guerre mondiale li pa trop loin ban virus non connu et surtout l'hypocrisie ek jalousie humain p prend dessus lor tout le bien mo pas ene prophète de malheur mais la dégradation dans le monde li pa de bonne augures,60,60,322,326,114,113,1.9,1.8833333333333333,False,False,False,False
"[NAME], pa angleterre ici.. Al rode to boute labà","[NAME], pa Angleterre ici.. Ale rode to boute laba.",train,"restore Mauritian Creole text: [NAME], pa angleterre ici.. Al rode to boute labà",9,9,49,51,30,21,3.3333333333333335,2.3333333333333335,False,False,False,False
Eta sorry pou dire ou.. Bous ou li.,Eta sorry pu dire ou.. Bouss ou liki.,train,restore Mauritian Creole text: Eta sorry pou dire ou.. Bous ou li.,8,8,35,37,25,17,3.125,2.125,False,False,False,False
